[21:59:36] [INFO] Memory guard started — watching PID 512588, min_avail=1.5 GB, interval=10.0s
[22:00:36] [INFO] RAM: 22.0/30.8 GB used | avail=8.78 GB | swap=6.2 GB
[22:01:36] [INFO] RAM: 22.2/30.8 GB used | avail=8.61 GB | swap=6.0 GB
[22:02:36] [INFO] RAM: 22.3/30.8 GB used | avail=8.43 GB | swap=5.8 GB
[22:03:36] [INFO] RAM: 22.1/30.8 GB used | avail=8.65 GB | swap=5.6 GB
[22:04:36] [INFO] RAM: 22.3/30.8 GB used | avail=8.49 GB | swap=5.6 GB
[22:05:36] [INFO] RAM: 22.3/30.8 GB used | avail=8.45 GB | swap=5.6 GB
[22:06:36] [INFO] RAM: 22.8/30.8 GB used | avail=8.00 GB | swap=5.6 GB
[22:07:36] [INFO] RAM: 22.3/30.8 GB used | avail=8.52 GB | swap=5.6 GB
[22:08:36] [INFO] RAM: 22.6/30.8 GB used | avail=8.19 GB | swap=5.5 GB
[22:09:36] [INFO] RAM: 23.2/30.8 GB used | avail=7.59 GB | swap=5.5 GB
[22:10:36] [INFO] RAM: 23.0/30.8 GB used | avail=7.78 GB | swap=5.5 GB
[22:11:36] [INFO] RAM: 23.5/30.8 GB used | avail=7.31 GB | swap=5.5 GB
[22:12:36] [INFO] RAM: 23.4/30.8 GB used | avail=7.37 GB | swap=5.4 GB
[22:13:36] [INFO] RAM: 23.6/30.8 GB used | avail=7.21 GB | swap=5.4 GB
[22:14:36] [INFO] RAM: 23.9/30.8 GB used | avail=6.92 GB | swap=5.4 GB
[22:15:36] [INFO] RAM: 24.1/30.8 GB used | avail=6.70 GB | swap=5.4 GB
[22:16:36] [INFO] RAM: 23.4/30.8 GB used | avail=7.41 GB | swap=5.4 GB
[22:17:36] [INFO] RAM: 23.3/30.8 GB used | avail=7.52 GB | swap=5.4 GB
[22:18:36] [INFO] RAM: 23.3/30.8 GB used | avail=7.48 GB | swap=5.4 GB
[22:19:36] [INFO] RAM: 23.6/30.8 GB used | avail=7.15 GB | swap=5.3 GB
[22:20:36] [INFO] RAM: 23.6/30.8 GB used | avail=7.19 GB | swap=5.3 GB
[22:21:36] [INFO] RAM: 23.6/30.8 GB used | avail=7.14 GB | swap=5.2 GB
[22:22:36] [INFO] RAM: 23.7/30.8 GB used | avail=7.03 GB | swap=5.2 GB
[22:23:37] [INFO] RAM: 23.6/30.8 GB used | avail=7.13 GB | swap=5.2 GB
[22:24:37] [INFO] RAM: 23.8/30.8 GB used | avail=7.02 GB | swap=5.2 GB
[22:25:37] [INFO] RAM: 23.5/30.8 GB used | avail=7.27 GB | swap=5.2 GB
[22:26:37] [INFO] RAM: 23.7/30.8 GB used | avail=7.12 GB | swap=5.1 GB
[22:27:37] [INFO] RAM: 23.2/30.8 GB used | avail=7.56 GB | swap=5.1 GB
[22:28:37] [INFO] RAM: 23.0/30.8 GB used | avail=7.80 GB | swap=5.1 GB
[22:29:37] [INFO] RAM: 23.1/30.8 GB used | avail=7.71 GB | swap=5.1 GB
[22:30:37] [INFO] RAM: 23.0/30.8 GB used | avail=7.82 GB | swap=5.1 GB
